BeeID,ColonyID,Date,Treatment,Count,WingSize
1,A,06/12/17,100%,0,2.8
5,B,06/12/17,100%,0,2.8
10,A,06/12/17,50%,0,2.7
11,B,06/12/17,25%,0,2.95
13,A,06/12/17,100%,0,2.8
14,B,06/12/17,50%,0,3
15,C,06/12/17,25%,0,2.65
17,B,06/12/17,100%,0,2.85
20,B,06/12/17,0%,0,2.9
21,C,06/12/17,100%,0,2.6
25,A,06/12/17,100%,0,3.1
26,B,06/12/17,50%,0,2.9
29,B,06/12/17,100%,0,2.95
33,C,06/12/17,100%,0,2.85
35,B,06/12/17,25%,0,3.1
38,B,06/12/17,50%,0,2.75
41,B,06/12/17,100%,0,3.05
42,C,06/12/17,50%,0,2.6
45,C,06/12/17,100%,0,2.7
46,A,06/12/17,50%,0,2.95
47,B,06/12/17,25%,0,2.8
50,B,06/12/17,50%,0,2.85
53,B,06/12/17,100%,0,2.9
55,A,06/12/17,25%,0,2.85
57,C,06/12/17,100%,0,2.8
58,A,06/12/17,50%,0,2.95
59,B,06/12/17,25%,0,2.95
61,A,06/14/17,100%,0,2.3
65,B,06/14/17,100%,0,2.65
71,B,06/14/17,25%,0,2.55
73,A,06/14/17,100%,0,2.75
74,B,06/14/17,50%,0,2.4
77,B,06/14/17,100%,0,2.2
78,C,06/14/17,50%,0,2.95
81,C,06/14/17,100%,0,2.7
83,B,06/14/17,25%,0,2.25
86,B,06/14/17,50%,0,2.45
93,C,06/14/17,100%,0,2.65
98,B,06/14/17,50%,0,2.75
102,C,06/14/17,50%,0,2.75
104,B,06/14/17,0%,0,2.65
105,C,06/14/17,100%,0,2.5
109,A,06/14/17,100%,0,2.3
114,C,06/14/17,50%,0,2.6
119,B,06/14/17,25%,0,2.6
2,B,06/12/17,50%,1,2.55
8,B,06/12/17,0%,1,2.75
27,C,06/12/17,25%,1,2.7
44,B,06/12/17,0%,1,3.1
62,B,06/14/17,50%,1,2.35
75,C,06/14/17,25%,1,2.7
16,A,06/12/17,0%,2,2.9
22,A,06/12/17,50%,2,2.95
23,B,06/12/17,25%,2,2.95
51,C,06/12/17,25%,2,2.55
52,A,06/12/17,0%,2,2.8
79,A,06/14/17,25%,2,2.2
34,A,06/12/17,50%,3,2.9
56,B,06/12/17,0%,3,2.55
99,C,06/14/17,25%,4,2.35
6,C,06/12/17,50%,6,2.65
101,B,06/14/17,100%,6,2.55
12,C,06/12/17,0%,8,2.55
68,B,06/14/17,0%,8,2.25
4,A,06/12/17,0%,9,2.6
64,A,06/14/17,0%,11,2.6
84,C,06/14/17,0%,11,2.65
9,C,06/12/17,100%,14,2.9
48,C,06/12/17,0%,14,2.85
76,A,06/14/17,0%,14,2.1
3,C,06/12/17,25%,15,2.95
95,B,06/14/17,25%,18,2.9
96,C,06/14/17,0%,18,2.85
113,B,06/14/17,100%,20,2.8
60,C,06/12/17,0%,22,2.85
111,C,06/14/17,25%,25,2.5
28,A,06/12/17,0%,27,3.05
116,B,06/14/17,0%,34,2.4
106,A,06/14/17,50%,51,2.45
103,A,06/14/17,25%,52,2.2
36,C,06/12/17,0%,60,2.95
112,A,06/14/17,0%,63,2.95
32,B,06/12/17,0%,70,3.1
24,C,06/12/17,0%,91,3.15
43,A,06/12/17,25%,100,2.65
39,C,06/12/17,25%,105,3.05
80,B,06/14/17,0%,109,2.5
40,A,06/12/17,0%,114,2.6
66,C,06/14/17,50%,146,3.15
120,C,06/14/17,0%,300,2.7