BeeID,Pollen,Strain,ColonyID,Death Date,WingSize,TimeBeforeDeath,Death
1,S,A,4,NA,2.6,7,0
5,S,A,4,NA,2.8,7,0
9,S,A,4,10/07/17,2.85,3,1
13,S,A,4,NA,2.6,7,0
17,S,A,4,NA,2.7,7,0
21,S,A,4,NA,2.75,7,0
25,S,A,4,NA,3,7,0
29,S,A,4,NA,2.7,7,0
33,S,A,4,NA,2.5,7,0
37,S,A,5,NA,2.95,7,0
41,S,A,5,NA,3,7,0
45,S,A,5,10/10/17,2.8,6,1
49,S,A,5,10/11/17,2.8,7,1
53,S,A,5,NA,2.65,7,0
57,S,A,5,10/07/17,3.1,3,1
61,S,A,5,10/05/17,2.8,1,1
65,S,A,5,NA,3,7,0
69,S,A,5,NA,2.6,7,0
73,S,A,6,10/06/17,3.05,2,1
77,S,A,6,NA,2.75,7,0
81,S,A,6,10/10/17,2.6,6,1
85,S,A,6,NA,3.05,7,0
89,S,A,6,NA,3.1,7,0
93,S,A,6,10/05/17,2.65,1,1
97,S,A,6,NA,2.75,7,0
101,S,A,6,NA,2.8,7,0
105,S,A,6,NA,3.35,7,0
2,S,B,4,NA,2.95,7,0
6,S,B,4,NA,2.6,7,0
10,S,B,4,NA,3.1,7,0
14,S,B,4,NA,2.65,7,0
18,S,B,4,NA,2.85,7,0
22,S,B,4,NA,2.6,7,0
26,S,B,4,NA,2.9,7,0
30,S,B,4,NA,2.85,7,0
34,S,B,4,NA,2.8,7,0
38,S,B,5,NA,2.95,7,0
42,S,B,5,NA,3.2,7,0
46,S,B,5,NA,2.95,7,0
50,S,B,5,10/10/17,2.9,6,1
54,S,B,5,10/11/17,2.85,7,1
58,S,B,5,NA,2.8,7,0
62,S,B,5,NA,3.1,7,0
66,S,B,5,NA,2.85,7,0
70,S,B,5,10/05/17,3.25,1,1
74,S,B,6,NA,3.1,7,0
78,S,B,6,10/08/17,2.95,4,1
82,S,B,6,NA,3,7,0
86,S,B,6,NA,3.15,7,0
90,S,B,6,NA,2.9,7,0
94,S,B,6,NA,3,7,0
98,S,B,6,NA,2.75,7,0
102,S,B,6,NA,2.7,7,0
106,S,B,6,10/10/17,2.95,6,1
3,W,A,4,NA,2.6,7,0
7,W,A,4,NA,2.85,7,0
11,W,A,4,NA,2.8,7,0
15,W,A,4,NA,2.55,7,0
19,W,A,4,10/05/17,2.55,1,1
23,W,A,4,NA,2.8,7,0
27,W,A,4,NA,2.8,7,0
31,W,A,4,NA,2.9,7,0
35,W,A,4,NA,2.65,7,0
39,W,A,5,10/10/17,2.8,6,1
43,W,A,5,NA,3,7,0
47,W,A,5,10/07/17,2.7,3,1
51,W,A,5,NA,3.1,7,0
55,W,A,5,NA,2.95,7,0
59,W,A,5,NA,3.05,7,0
63,W,A,5,10/06/17,3.1,2,1
67,W,A,5,10/06/17,2.9,2,1
71,W,A,5,NA,2.5,7,0
75,W,A,6,10/05/17,2.8,1,1
79,W,A,6,NA,3.15,7,0
83,W,A,6,NA,2.9,7,0
87,W,A,6,10/08/17,2.9,4,1
91,W,A,6,NA,3.1,7,0
95,W,A,6,NA,2.5,7,0
99,W,A,6,10/10/17,2.85,6,1
103,W,A,6,NA,3.2,7,0
107,W,A,6,NA,2.95,7,0
4,W,B,4,NA,2.75,7,0
8,W,B,4,NA,2.9,7,0
12,W,B,4,10/10/17,3.15,6,1
16,W,B,4,NA,2.7,7,0
20,W,B,4,NA,2.7,7,0
24,W,B,4,NA,2.6,7,0
28,W,B,4,NA,2.55,7,0
32,W,B,4,NA,3,7,0
36,W,B,4,NA,2.7,7,0
40,W,B,5,10/07/17,2.75,3,1
44,W,B,5,NA,2.9,7,0
48,W,B,5,NA,2.6,7,0
52,W,B,5,NA,2.75,7,0
56,W,B,5,NA,3.05,7,0
60,W,B,5,NA,2.75,7,0
64,W,B,5,NA,2.75,7,0
68,W,B,5,NA,2.9,7,0
72,W,B,5,NA,3,7,0
76,W,B,6,10/05/17,2.9,1,1
80,W,B,6,NA,3.05,7,0
84,W,B,6,NA,3,7,0
88,W,B,6,10/05/17,2.8,1,1
92,W,B,6,10/09/17,3.15,5,1
96,W,B,6,NA,3.15,7,0
100,W,B,6,NA,3.2,7,0
104,W,B,6,NA,3,7,0
108,W,B,6,NA,2.7,7,0